date,sentiment_score,volume
2018-01-01,-0.0314,1468
2018-01-02,-0.0274,2189
2018-01-03,-0.0259,2834
2018-01-04,-0.0293,5214
2018-01-05,-0.0515,2825
2018-01-06,-0.0376,1979
2018-01-07,-0.037,3588
2018-01-08,-0.0466,2359
2018-01-09,-0.0247,2528
2018-01-10,-0.0272,2128
2018-01-11,-0.0487,2380
2018-01-12,-0.0645,4472
2018-01-13,-0.0501,2528
2018-01-14,-0.0293,3571
2018-01-15,-0.0611,6092
2018-01-16,-0.0414,4223
2018-01-17,-0.0347,2909
2018-01-18,-0.0367,3305
2018-01-19,-0.0352,2973
2018-01-20,-0.0227,5838
2018-01-21,-0.0227,4881
2018-01-22,-0.0304,3389
2018-01-23,-0.0543,4798
2018-01-24,-0.0436,3135
2018-01-25,-0.0369,3427
2018-01-26,-0.0358,2316
2018-01-27,-0.0633,3319
2018-01-28,0.0012,3047
2018-01-29,-0.0235,2123
2018-01-30,-0.0307,1941
2018-01-31,-0.0417,2594
2018-02-01,-0.0232,3414
2018-02-02,-0.0321,3031
2018-02-03,-0.0441,18921
2018-02-04,-0.0362,14226
2018-02-05,-0.043,11196
2018-02-06,-0.0426,9067
2018-02-07,-0.0416,5058
2018-02-08,-0.0308,5868
2018-02-09,-0.0504,7558
2018-02-10,-0.0258,7744
2018-02-11,-0.0332,6545
2018-02-12,-0.0373,5197
2018-02-13,-0.0362,7044
2018-02-14,-0.0208,4555
2018-02-15,-0.0275,4831
2018-02-16,-0.0345,4359
2018-02-17,-0.0395,4284
2018-02-18,-0.0282,3808
2018-02-19,-0.0427,3660
2018-02-20,-0.0299,2964
2018-02-21,-0.0517,4072
2018-02-22,-0.0595,4134
2018-02-23,-0.0476,3463
2018-02-24,-0.0618,2984
2018-02-25,-0.0381,4193
2018-02-26,-0.0036,4954
2018-02-27,-0.0208,4448
2018-02-28,-0.034,3726
2018-03-01,-0.0373,3732
2018-03-02,-0.0271,2807
2018-03-03,-0.029,4951
2018-03-04,-0.0299,3894
2018-03-05,-0.0383,6867
2018-03-06,-0.0433,5475
2018-03-07,-0.0408,2369
2018-03-08,-0.0552,2841
2018-03-09,-0.0327,2452
2018-03-10,-0.0418,2147
2018-03-11,-0.0394,3104
2018-03-12,-0.0417,4191
2018-03-13,-0.0425,3140
2018-03-14,-0.041,2945
2018-03-15,-0.0229,2940
2018-03-16,-0.0349,2191
2018-03-17,-0.0078,2778
2018-03-18,-0.0504,2908
2018-03-19,-0.0372,3488
2018-03-20,-0.0305,3965
2018-03-21,-0.0364,4436
2018-03-22,-0.0297,2667
2018-03-23,-0.0313,1851
2018-03-24,-0.0367,2212
2018-03-25,-0.0308,2104
2018-03-26,-0.0378,1971
2018-03-27,-0.0273,1909
2018-03-28,-0.0333,1405
2018-03-29,-0.0554,44
2018-03-30,-0.0259,1470
2018-03-31,-0.0341,3847
2018-04-01,-0.0353,2334
2018-04-02,-0.0321,3269
2018-04-03,-0.0307,2763
2018-04-04,-0.0407,2182
2018-04-05,-0.0457,2239
2018-04-06,-0.0489,1594
2018-04-07,-0.0417,2544
2018-04-08,-0.0386,2961
2018-04-09,-0.0195,2603
2018-04-10,-0.0295,902
2018-04-11,-0.0162,1068
2018-04-12,-0.026,764
2018-04-13,-0.0236,1965
2018-04-14,-0.0378,1343
2018-04-15,-0.0316,886
2018-04-16,-0.0329,1067
2018-04-17,-0.0108,2694
2018-04-18,-0.0156,1971
2018-04-19,-0.0297,1212
2018-04-20,-0.0462,2525
2018-04-21,-0.0534,3213
2018-04-22,-0.0387,1771
2018-04-23,-0.0445,1852
2018-04-24,-0.0376,2240
2018-04-25,-0.0484,1887
2018-04-26,-0.0365,2211
2018-04-27,-0.0334,2687
2018-04-28,-0.0256,2699
2018-04-29,-0.0267,3062
2018-04-30,-0.0359,1913
2018-05-01,-0.0397,1859
2018-05-02,-0.0366,1928
2018-05-03,-0.0316,2965
2018-05-04,-0.0376,3107
2018-05-05,-0.0301,4005
2018-05-06,-0.0458,4335
2018-05-07,-0.0364,2541
2018-05-08,-0.0364,2251
2018-05-09,-0.0316,1840
2018-05-10,-0.039,2148
2018-05-11,-0.0286,2257
2018-05-12,-0.0305,2285
2018-05-13,-0.0411,1441
2018-05-14,-0.042,288
2018-05-15,-0.0322,3364
2018-05-16,-0.019,3365
2018-05-17,-0.0245,2331
2018-05-18,-0.0659,2846
2018-05-19,-0.0512,3533
2018-05-20,-0.0527,3832
2018-05-21,-0.0387,2840
2018-05-22,-0.0356,1763
2018-05-23,-0.0389,1610
2018-05-24,-0.0372,2016
2018-05-25,-0.0433,1352
2018-05-26,-0.0228,1271
2018-05-27,-0.0327,2133
2018-05-28,-0.0187,1904
2018-05-29,-0.0101,1586
2018-05-30,-0.0515,2889
2018-05-31,-0.042,4594
2018-06-01,-0.0292,6067
2018-06-02,-0.0372,7221
2018-06-03,-0.0358,10287
2018-06-04,-0.0337,8725
2018-06-05,-0.0273,6942
2018-06-06,-0.0382,4900
2018-06-07,-0.0212,5817
2018-06-08,-0.0404,5331
2018-06-09,-0.0318,4484
