date,sentiment_score,volume
2018-01-01,-0.0447,6868
2018-01-02,-0.0309,7238
2018-01-03,-0.0255,8448
2018-01-04,-0.0276,10005
2018-01-05,-0.0414,8001
2018-01-06,-0.032,5818
2018-01-07,-0.035,8697
2018-01-08,-0.0324,7631
2018-01-09,-0.0234,6810
2018-01-10,-0.026,6799
2018-01-11,-0.0325,8479
2018-01-12,-0.0402,11973
2018-01-13,-0.0339,8297
2018-01-14,-0.0326,9659
2018-01-15,-0.0425,12409
2018-01-16,-0.0315,10471
2018-01-17,-0.0306,7356
2018-01-18,-0.0397,9458
2018-01-19,-0.031,8470
2018-01-20,-0.0255,11370
2018-01-21,-0.0282,10370
2018-01-22,-0.0245,10567
2018-01-23,-0.0478,10859
2018-01-24,-0.0297,8174
2018-01-25,-0.0311,9454
2018-01-26,-0.0318,8490
2018-01-27,-0.0445,9780
2018-01-28,-0.0127,8586
2018-01-29,-0.0236,8525
2018-01-30,-0.0285,7623
2018-01-31,-0.032,7181
2018-02-01,-0.0328,11452
2018-02-02,-0.0298,12954
2018-02-03,-0.0429,37858
2018-02-04,-0.0399,31024
2018-02-05,-0.0347,25824
2018-02-06,-0.0371,19205
2018-02-07,-0.0441,16739
2018-02-08,-0.0343,19769
2018-02-09,-0.0428,19033
2018-02-10,-0.0288,18375
2018-02-11,-0.0331,16805
2018-02-12,-0.0326,15646
2018-02-13,-0.0254,18113
2018-02-14,-0.02,11759
2018-02-15,-0.0266,12210
2018-02-16,-0.0287,14072
2018-02-17,-0.0315,13564
2018-02-18,-0.0337,12552
2018-02-19,-0.0337,9511
2018-02-20,-0.0271,8208
2018-02-21,-0.0377,9607
2018-02-22,-0.0359,11860
2018-02-23,-0.035,9551
2018-02-24,-0.0425,8021
2018-02-25,-0.0392,9818
2018-02-26,-0.0248,11462
2018-02-27,-0.0304,10652
2018-02-28,-0.0284,9757
2018-03-01,-0.0371,11625
2018-03-02,-0.0312,8512
2018-03-03,-0.041,12967
2018-03-04,-0.0392,7936
2018-03-05,-0.0433,15023
2018-03-06,-0.0443,12974
2018-03-07,-0.0429,6897
2018-03-08,-0.0499,7558
2018-03-09,-0.035,6370
2018-03-10,-0.0435,7500
2018-03-11,-0.0466,9905
2018-03-12,-0.0382,11960
2018-03-13,-0.0408,11035
2018-03-14,-0.0424,10923
2018-03-15,-0.0343,9863
2018-03-16,-0.039,8841
2018-03-17,-0.0278,9240
2018-03-18,-0.0324,9679
2018-03-19,-0.0165,11998
2018-03-20,-0.0283,11607
2018-03-21,-0.0282,12533
2018-03-22,-0.0265,8966
2018-03-23,-0.0317,7316
2018-03-24,-0.0374,7162
2018-03-25,-0.0388,8005
2018-03-26,-0.0416,9055
2018-03-27,-0.0288,9349
2018-03-28,-0.0282,7592
2018-03-29,-0.0334,182
2018-03-30,-0.0352,4659
2018-03-31,-0.0253,16892
2018-04-01,-0.0284,8922
2018-04-02,-0.0253,8969
2018-04-03,-0.0371,9372
2018-04-04,-0.0413,7714
2018-04-05,-0.0508,9382
2018-04-06,-0.0427,6122
2018-04-07,-0.0429,6939
2018-04-08,-0.0289,8054
2018-04-09,-0.0239,7546
2018-04-10,-0.0237,3215
2018-04-11,-0.0265,3879
2018-04-12,-0.0243,4412
2018-04-13,-0.0278,6031
2018-04-14,-0.0426,4649
2018-04-15,-0.0273,3623
2018-04-16,-0.0349,5103
2018-04-17,-0.0174,7105
2018-04-18,-0.0258,6276
2018-04-19,-0.0273,4800
2018-04-20,-0.033,6145
2018-04-21,-0.0473,7349
2018-04-22,-0.0473,6526
2018-04-23,-0.0314,7295
2018-04-24,-0.0329,8650
2018-04-25,-0.0351,6314
2018-04-26,-0.04,6912
2018-04-27,-0.0299,9438
2018-04-28,-0.0351,8312
2018-04-29,-0.0402,10365
2018-04-30,-0.0288,7211
2018-05-01,-0.0283,7353
2018-05-02,-0.0396,8802
2018-05-03,-0.0321,9013
2018-05-04,-0.0362,9902
2018-05-05,-0.0324,11665
2018-05-06,-0.0381,11774
2018-05-07,-0.0348,10608
2018-05-08,-0.0464,8280
2018-05-09,-0.0369,8248
2018-05-10,-0.0269,9172
2018-05-11,-0.0212,7881
2018-05-12,-0.0265,8768
2018-05-13,-0.0414,8138
2018-05-14,-0.0461,1134
2018-05-15,-0.0336,10189
2018-05-16,-0.0267,10869
2018-05-17,-0.0303,8941
2018-05-18,-0.0398,9715
2018-05-19,-0.0433,9373
2018-05-20,-0.0457,8172
2018-05-21,-0.0325,6984
2018-05-22,-0.0299,7043
2018-05-23,-0.0329,7642
2018-05-24,-0.0316,10391
2018-05-25,-0.0293,7824
2018-05-26,-0.0421,8224
2018-05-27,-0.0414,9660
2018-05-28,-0.0252,8652
2018-05-29,-0.0207,7815
2018-05-30,-0.0335,8241
2018-05-31,-0.0313,11042
2018-06-01,-0.0213,15096
2018-06-02,-0.0333,14404
2018-06-03,-0.0392,28116
2018-06-04,-0.0299,24545
2018-06-05,-0.0232,21345
2018-06-06,-0.0255,14416
2018-06-07,-0.035,14361
2018-06-08,-0.0294,17387
2018-06-09,-0.0274,15588
2018-06-10,-0.0276,33997
2018-06-11,-0.0172,65569
2018-06-12,-0.0322,57179
2018-06-13,-0.0319,39015
2018-06-14,-0.0275,30715
2018-06-15,-0.0241,22952
2018-06-16,-0.021,26284
2018-06-17,-0.0266,28060
2018-06-18,-0.0279,28680
2018-06-19,-0.035,41650
2018-06-20,-0.0329,32228
2018-06-21,-0.0207,35290
2018-06-22,-0.0246,28790
2018-06-23,-0.0256,23315
2018-06-24,-0.0227,37337
2018-06-25,-0.0209,27163
2018-06-26,-0.0169,33235
2018-06-27,-0.0188,30878
2018-06-28,-0.0152,28638
2018-06-29,-0.0284,32288
2018-06-30,-0.0279,39139
2018-07-01,-0.0337,28796
2018-07-02,-0.0275,26308
2018-07-03,-0.0188,25600
2018-07-04,-0.029,26909
2018-07-05,-0.0294,29532
2018-07-06,-0.029,21158
2018-07-07,-0.0274,22351
2018-07-08,-0.0227,26801
2018-07-09,-0.0207,29459
2018-07-10,-0.0288,30413
2018-07-11,-0.0375,31131
2018-07-12,-0.0308,33785
2018-07-13,-0.031,21930
2018-07-14,-0.028,22890
2018-07-15,-0.0184,29442
2018-07-16,-0.0279,25365
2018-07-17,-0.0363,27091
2018-07-18,-0.0299,25690
2018-07-19,-0.0277,21348
2018-07-20,-0.0307,17688
2018-07-21,-0.0373,18166
2018-07-22,-0.0341,19912
2018-07-23,-0.0188,20084
2018-07-24,-0.0349,23701
2018-07-25,-0.0285,23213
2018-07-26,-0.0272,22593
2018-07-27,-0.047,15690
2018-07-28,-0.0392,2084
2018-07-29,-0.0343,20483
2018-07-30,-0.0372,37696
2018-07-31,-0.0323,37705
2018-08-01,-0.0375,27225
2018-08-02,-0.0321,23999
2018-08-03,-0.0394,27793
2018-08-04,-0.0352,22385
2018-08-05,-0.034,21258
2018-08-06,-0.0352,35220
2018-08-07,-0.0371,26669
2018-08-08,-0.0388,28765
2018-08-09,-0.0498,23908
2018-08-10,-0.0466,19643
2018-08-11,-0.0425,17603
2018-08-12,-0.0295,13734
2018-08-13,-0.0309,22773
2018-08-14,-0.0392,33083
2018-08-15,-0.0488,12193
2018-08-16,-0.0453,14599
2018-08-17,-0.0315,11925
2018-08-18,-0.0391,14072
2018-08-19,-0.0374,15547
2018-08-20,-0.0427,15896
2018-08-21,-0.0301,21999
2018-08-22,-0.0214,35533
2018-08-23,-0.0277,50612
2018-08-24,-0.041,62216
2018-08-25,-0.0319,62450
2018-08-26,-0.0303,52160
2018-08-27,-0.0169,41424
2018-08-28,-0.0309,42760
2018-08-29,-0.03,41397
2018-08-30,-0.0218,38014
2018-08-31,-0.0167,38335
2018-09-01,-0.0284,26844
2018-09-02,-0.0331,22365
2018-09-03,-0.0263,24334
2018-09-04,-0.0292,22825
2018-09-05,-0.0358,24237
2018-09-06,-0.0321,21860
2018-09-07,-0.0313,23924
2018-09-08,-0.029,16819
2018-09-09,-0.0386,18738
2018-09-10,-0.0249,27116
2018-09-11,-0.025,22828
2018-09-12,-0.0322,18394
2018-09-13,-0.0342,19044
2018-09-14,-0.0363,32463
2018-09-15,-0.029,18825
2018-09-16,-0.0331,20498
2018-09-17,-0.0351,23462
2018-09-18,-0.0323,20848
2018-09-19,-0.035,16717
2018-09-20,-0.033,19333
2018-09-21,-0.0245,18472
2018-09-22,-0.0343,16777
2018-09-23,-0.0333,14972
2018-09-24,-0.0151,25875
2018-09-25,-0.0274,13779
2018-09-26,-0.0264,19397
2018-09-27,-0.0314,15852
2018-09-28,-0.038,9421
2018-09-29,-0.0372,10683
2018-09-30,-0.0361,12083
2018-10-01,-0.0395,7310
2018-10-02,-0.0125,17727
2018-10-03,-0.0317,24942
2018-10-04,-0.0287,24554
2018-10-05,-0.0298,20063
2018-10-06,-0.0155,16772
2018-10-07,-0.0157,22758
2018-10-08,-0.0239,17112
2018-10-09,-0.0314,14159
2018-10-10,-0.0237,9863
2018-10-11,-0.0352,15875
2018-10-12,-0.0596,19928
2018-10-13,-0.0561,37458
2018-10-14,-0.0532,34377
2018-10-15,-0.0343,31713
2018-10-16,-0.0358,27779
2018-10-17,-0.0344,16892
2018-10-18,-0.0312,17040
2018-10-19,-0.0407,15220
2018-10-20,-0.0292,14588
2018-10-21,-0.0298,16073
2018-10-22,-0.0224,21432
2018-10-23,-0.0344,20765
2018-10-24,-0.0476,24353
2018-10-25,-0.0387,34424
2018-10-26,-0.0351,23702
2018-10-27,-0.0521,23171
2018-10-28,-0.0388,16661
2018-10-29,-0.0297,12448
2018-10-30,-0.0354,13206
2018-10-31,-0.0334,14775
2018-11-01,-0.0307,13744
2018-11-02,-0.0254,16196
2018-11-03,-0.0273,13892
2018-11-04,-0.0298,14038
2018-11-05,-0.028,15536
2018-11-06,-0.0267,18066
2018-11-07,-0.0354,23261
2018-11-08,-0.0255,21818
2018-11-09,-0.0268,17638
2018-11-10,-0.0367,17557
2018-11-11,-0.0307,13279
2018-11-12,-0.036,10909
2018-11-13,-0.039,19685
2018-11-14,-0.0246,11234
2018-11-15,-0.0253,10297
2018-11-16,-0.0189,12870
2018-11-17,-0.0367,10557
2018-11-18,-0.0316,10872
2018-11-19,-0.0389,12382
2018-11-20,-0.0277,17923
2018-11-21,-0.033,15826
2018-11-22,-0.0414,14598
2018-11-23,-0.033,13603
2018-11-24,-0.03,18319
2018-11-25,-0.031,18862
2018-11-26,-0.0278,12840
2018-11-27,-0.0257,14496
2018-11-28,-0.0282,16440
2018-11-29,-0.0227,17347
2018-11-30,-0.0401,17651
2018-12-01,-0.0378,15928
2018-12-02,-0.044,28323
2018-12-03,-0.027,19546
2018-12-04,-0.0094,14757
2018-12-05,-0.037,12129
2018-12-06,-0.0311,15350
2018-12-07,-0.036,18736
2018-12-08,-0.0265,9137
2018-12-09,-0.0303,10094
2018-12-10,-0.0277,15627
