Giorno,Indice
20180101,0.405189967
20180102,-0.549586451
20180103,-0.402654034
20180104,0.038645271
20180105,1.513365946
20180106,0.352029988
20180107,-0.38112208
20180108,-1.214851999
20180109,-0.461614224
20180110,2.760566916
20180111,2.11779985
20180112,1.100938805
20180113,0.633941114
20180114,-0.000190923
20180115,0.418196904
20180116,1.104371129
20180117,0.345186602
20180118,-0.143485009
20180119,-0.464772801
20180120,0.326369183
20180121,-0.376394041
20180122,0.155531403
20180123,0.770678879
20180124,1.336233511
20180125,-1.213401577
20180126,-0.606327994
20180127,-0.794897
20180128,0.01984127
20180129,0.318559649
20180130,0.213903272
20180131,1.042626267
20180201,0.434991525
20180202,-0.737662389
20180203,0.595610314
20180204,-0.344792944
20180205,-0.552253713
20180206,-0.146126032
20180207,-1.451360515
20180208,-0.871013766
20180209,1.297617782
20180210,0.828348328
20180211,0.590971179
20180212,1.378772108
20180213,0.387822583
20180214,1.082716961
20180215,2.016605674
20180216,2.125510801
20180217,0.012887237
20180218,1.183469774
20180219,1.055358208
20180220,0.250233089
20180221,-0.187993518
20180222,0.480032864
20180223,0.989371373
20180224,1.309517595
20180225,-0.785490344
20180226,-0.093945419
20180227,-0.087751361
20180228,-0.790125095
20180301,1.068308359
20180302,0.061664719
20180303,0.133530548
20180304,1.137853278
20180305,1.943345569
20180306,2.813089378
20180307,1.801888191
20180308,2.881374322
20180309,1.335950518
20180310,1.240808436
20180311,0.920855083
20180312,1.71710489
20180313,0.913514362
20180314,1.483625427
20180315,-0.363098217
20180316,2.4413078
20180317,1.821291072
20180318,-0.714843146
20180319,-1.373763035
20180320,0.427152503
20180321,-0.964271522
20180322,0.29317087
20180323,1.337971766
20180324,0.724640436
20180325,-1.654458693
20180326,0.025718254
20180327,0.014651284
20180328,0.766807006
20180329,1.005476415
20180330,1.714180296
20180331,2.829591783
20180401,0.735040737
20180402,-0.757038443
20180403,1.338907001
20180404,0.194609947
20180405,0.292382132
20180406,-0.276820719
20180407,-0.289645881
20180408,-0.155347047
20180409,2.382308324
20180410,2.034653814
20180411,1.179413547
20180412,1.14721938
20180413,0.437876637
20180414,-0.688854104
20180415,0.534687922
20180416,0.379552871
20180417,1.422721686
